group,n,recall_lenient@5,recall_lenient@5_ci_lo,recall_lenient@5_ci_hi,recall_strict@5,recall_strict@5_ci_lo,recall_strict@5_ci_hi,lenient_minus_strict@5,mrr_lenient,mrr_strict,ndcg_lenient,ndcg_strict
cross_patient,29,0.8966,0.7586,1.0,0.7241,0.5517,0.8966,0.1724,0.7682,0.5313,0.746,0.5683
within_patient,29,0.931,0.8276,1.0,0.7931,0.6207,0.931,0.1379,0.8161,0.5804,0.8127,0.6125
