group,n,recall_lenient@5,recall_lenient@5_ci_lo,recall_lenient@5_ci_hi,recall_strict@5,recall_strict@5_ci_lo,recall_strict@5_ci_hi,lenient_minus_strict@5,mrr_lenient,mrr_strict,ndcg_lenient,ndcg_strict
hand_written,3,1.0,1.0,1.0,0.3333,0.0,1.0,0.6667,0.6111,0.1958,0.743,0.3393
programmatic,26,0.8846,0.7692,1.0,0.7692,0.6154,0.9231,0.1154,0.7863,0.57,0.7463,0.5948
